,user_key,n,followers_count
1,ten_gop,468,136000
2,thefoundingson,400,42000
3,judelambertusa,182,1688
4,lazykstafford,182,2187
5,tpartynews,171,19976
6,jeffreykahunas,162,1565
7,heyits_toby,150,1424
8,ryanmaxwell_1,138,1839
9,evagreen69,136,2668
10,emileewaren,135,1909
