"","name","description"
"1","Michael Carter-Willi","Philippians 4:13 Former Syracuse Orangeman, Hornets PG <f0><U+009F><U+0090><U+009D>"
"2","Landry Fields","John 17:3"
"3","Stephen Curry","Believer. Husband to @ayeshacurry, father to Riley and Ryan, son, brother. Golden State Warriors guard. Davidson Wildcat.  Philippians 4:13 #IWILL"
